"name","position","department","degree"
"ABBOTT,DAVID H.","Professor","Obstetrics &amp; Gynecology","PHD 1979 University of Edinburgh"
"ABD-ELSAYED,ALAA A","Assoc Professor (Chs)","Anesthesiology","MD 2000 University of Assiut"
"ABDUALLAH,FAISAL","Professor","Art","PHD 2012 Royal College of Art"
"ABRAHAM,OLUFUNMILOLA","Assistant Professor","Pharmacy","PHD 2013 Univ of Wisconsin-Madison"
"ABRAMS,SAMANTHA","Assoc Lecturer","Information School","MA 2017 Univ of Wisconsin-Madison"
"ABRAMSON,LYN","Professor","Psychology","PHD 1978 University of Pennsylvania"
"ACKER,LINDSAY","Lecturer","Accting &amp; Info Sys","MACC 2005 Univ of Wisconsin-Madison"
"ACKERMAN,STEVEN","Professor","Atmospheric &amp; Oceanic Sciences","PHD 1987 Colorado State University"
"ADAMCZYK,PETER GABRIEL","Assistant Professor","Mechanical Engineering","PHD 2008 Univ of Michigan at Ann Arbor"
"ADAMES-CORRALIZA,ANGEL","Assistant Professor","Atmospheric &amp; Oceanic Sciences","PHD 2018 University of Washington"
"ADAMS,AERON","Clinical Asst Prof","Nursing","DNP 2017 Univ of Wisconsin-Madison"
"ADAMS,MEGAN","Asst Faculty Assoc","Information School","MA  University of South Florida"
"ADCOCK,SARAH","Assistant Professor","Animal And Dairy Sciences","PHD 2020 Univ of California Davis"
"ADDINGTON,REBECCA LYNN","Senior Lecturer","Psychology","PHD 1998 Univ of Wisconsin-Madison"
"ADDO,FENABA","Associate Professor","School Of Human Ecology","PHD 2012 Ithaca College"
"ADELL,SANDRA","Professor","Afro-American Studies","PHD 1989 Univ of Wisconsin-Madison"
"AFFI,ABOUD","Clinical Adjunct Professor","Volunteer Staff","MD 1989 University Of Aleppo"
"AGARWAL,PRIYANKA","Assistant Professor","Curriculum And Instruction","PHD 2019 Univ of California Irvine"
"AGASIE,ROBERT","Instrmt Innovator/Ins","Engineering Research Center","MS 1997 Univ of Wisconsin-Madison"
"AGOKE,ADEOLA","Asst Faculty Assoc","African Cultural Studies","PHD 2019 Univ of Wisconsin-Madison"
"AHLQUIST,PAUL GERALD","Professor","Plant Pathology","PHD 1981 Univ of Wisconsin-Madison"
"AHMAD,JAMEEL","Senior Lecturer","South Asian Sum Lang Instit",NA
"AHMAD,NIHAL","Professor","Dermatology","PHD 1989 University of Lucknow"
"AHMED,AZAM SYED","Assoc Professor (Chs)","Neurological Surgery","MD 2003 Loyola University of Chicago"
"AHN,JAERIN","Assoc Faculty Assoc","Asian Languages &amp; Cultures","MA 2013 Ewha Womans University"
"AHN,SUE","Professor","Civil &amp; Environmental Engr","PHD  Univ of California Berkeley"
"AHN,YEOHYUN","Assistant Professor","Art","MFA 2007 Maryland Institute Colg Of Art"
"AHRENS,SARAH ELIZABETH","Clinical Assoc Prof","Medicine","MD 2002 U of California San Francisco"
"AI,ALBERT L","Visiting Asst Prof","Mathematics","PHD 2019 Univ of California Berkeley"
"AIKEN,JEFFREY P","Adjunct Instructor","Law School","JD 1972 Marquette University"
"AIZAWA,NAOKI","Assistant Professor","Economics","PHD 2014 University of Pennsylvania"
"AJMANI,VIVEK","Assoc Faculty Assoc","Engr Professional Development","PHD  "
"AKELLA,ADITYA","Professor","Computer Sciences","PHD 2005 Carnegie-Mellon University"
"AL-ADRA,DAVID","Assistant Professor","Surgery","PHD 2012 University of Alberta"
"AL-SUBU,AWNI M","Asst Professor (Chs)","Pediatrics","MD 2005 Al-Quds University"
"ALAGOZ,OGUZHAN","Professor","Industrial &amp; Systems Engr","PHD 2004 University of Pittsburgh"
"ALARID,ELAINE","Professor","Oncology","PHD 1991 Univ of California Berkeley"
"ALATOUT,SAMER N","Associate Professor","Community &amp; Environ Sociology","PHD 2002 Cornell University"
"ALBARGHOUTHI,AWS","Assistant Professor","Computer Sciences","PHD 2014 University of Toronto"
"ALBERS,CRAIG","Associate Professor","Educational Psychology","PHD 2002 Arizona State University"
"ALBERT,LAURA","Professor","Industrial &amp; Systems Engr","PHD 2006 Univ of IL at Urbana-Champaign"
"ALBERTINI,MARK RICHARD","Professor","Medicine","MD 1984 University of Vermont"
"ALCALA GALAN,MERCEDES","Associate Professor","Spanish And Portuguese","PHD 1994 Univ Complutense de Madrid"
"ALDAG,RAY","Professor","Management &amp; Human Resources","PHD 1974 Michigan State University"
"ALDER,SIMEON DAVID","Faculty Associate","Economics","PHD 2009 Univ of California Los Angeles"
"ALESSANDRINO,KAYLA","Clinical Instructor","Medical Sciences",NA
"ALEXANDER,ANDREW LAFAYETTE","Professor","Medical Physics","PHD 1994 University of Arizona"
"ALEXANDER,ANGELA","Faculty Associate","English","MA 2007 University Of Central Florida"
"ALEXANDER,LACEY ANN","Clinical Asst Prof","Nursing","PHD 2018 Univ of Wisconsin-Madison"
"ALI,SHANTEL D","Asst Prof Of Mil Sci","Military Science","BA 2002 "
"ALI,SYED EKHTEYAR","Senior Lecturer","South Asian Sum Lang Instit","PHD  "
"ALIBALI,MARTHA W.","Professor","Psychology","PHD 1994 University of Chicago"
"ALISCH,REID S","Assistant Professor","Neurological Surgery","PHD 2003 Univ of Michigan at Ann Arbor"
"ALLEN,CAITILYN","Professor","Plant Pathology","PHD 1987 VA Polytechnic Inst &amp; State U"
"ALLEN,DAVID","Professor","Pediatrics","MD 1980 Duke University"
"ALLEN,HEATHER","Associate Professor","French And Italian","PHD 2002 Emory University"
"ALLEN,MATT","Professor","Engineering Physics","PHD 2005 Georgia Inst of Technology"
"ALLEWAERT,MONIQUE","Associate Professor","English","PHD 2006 Duke University"
"ALLIE,MARK C","Faculty Associate","Electrical &amp; Computer Engr","MS 1983 Univ of Wisconsin-Madison"
"ALONSO,ARACELI","Dis Lecturer","Gender And Women Studies","PHD 2002 Univ of Wisconsin-Madison"
"ALTINO,SOH-HYUN PARK","Associate Professor","Mead Witter School Of Music","PHD 2002 Cleveland Institute Of Music"
"ALTSCHAFL,BETH","Faculty Associate","Academic Affairs","PHD 2006 Univ of Wisconsin-Madison"
"ALTSECH,MOSES","Lecturer","Marketing","PHD 1996 Pennsylvania State University"
"ALTWIES,JOY","Faculty Associate","Engr Professional Development","PHD 2013 Univ of Wisconsin-Madison"
"ALVAREZ,ELIZABETH E","Clinical Asst Prof","Medical Sciences","DVM 2003 Michigan State University"
"ALVAREZ,SAYLIN","Senior Lecturer","Spanish And Portuguese","PHD  Univ of Wisconsin-Madison"
"AMADOR-NOGUEZ,DANIEL","Associate Professor","Bacteriology","PHD 2007 Baylor University"
"AMANN,KURT","Associate Professor","Integrative Biology","PHD 1999 Univ of Wisconsin-Madison"
"AMASINO,RICHARD M.","Professor","Biochemistry","PHD 1982 Indiana University"
"AMATO,FELICE CATHERINE","Lecturer","Art","PHD 2018 Univ of Wisconsin-Madison"
"AMINE,LAILA","Associate Professor","English","PHD 2011 Indiana University"
"AMSBARY,PAUL","Adjunct Assoc Prof","Information School","MS 2007 Georgia Inst of Technology"
"AN,PANDUAN","Visiting Asst Prof","Statistics","PHD 2019 Ohio University"
"AN,ZHE GIGI","Assistant Professor","Rehab Psychology &amp; Special Ed","PHD 2018 University of Kansas"
"ANANTHARAMAN,KARTHIK","Assistant Professor","Bacteriology","PHD 2014 Univ of Michigan at Ann Arbor"
"ANCOS GARCIA,PABLO","Associate Professor","Spanish And Portuguese","PHD 2004 Univ of Wisconsin-Madison"
"ANDERSEN,CLAUS E","Assistant Professor","German, Nordic &amp; Slavic","PHD 2015 University of Helsinki"
"ANDERSON,DAVID","Professor","Electrical &amp; Computer Engr","PHD 1984 Univ of Wisconsin-Madison"
"ANDERSON,DAVID F","Professor","Mathematics","PHD 2005 Duke University"
"ANDERSON,KATHRYN","Lecturer","Community &amp; Environ Sociology","PHD 2019 Univ of Wisconsin-Madison"
"ANDERSON,LORI","Assistant Professor","Nursing","PHD 2006 Univ of Wisconsin-Madison"
"ANDERSON,MARK","Assistant Professor","Mechanical Engineering","PHD 1998 Univ of Wisconsin-Madison"
"ANDERSON,PETER","Senior Lecturer","Nutritional Sciences","MS 1995 Univ of Wisconsin-Madison"
"ANDERSON,RICHARD A.","Professor","Administration","PHD 1982 Univ of Minnesota-Twin Cities"
"ANDERSON,ROZALYN","Associate Professor","Medicine","PHD 1999 Univ of Dublin-Trinity College"
"ANDES,DAVID R.","Professor","Medicine","MD 1992 Univ of Missouri-Columbia"
"ANDREAE,SUSAN J","Assistant Professor","Kinesiology","PHD 2015 Univ of Alabama at Birmingham"
"ANDRESEN,CHRISTIAN G.","Assistant Professor","Geography","PHD 2014 University Of Texas At El Paso"
"ANDREWS,JOSEPH","Assistant Professor","Mechanical Engineering","PHD 2019 Duke University"
"ANDREWS,LISA M","Assoc Faculty Assoc","Consumer Science","MBA 2004 Univ of Wisconsin-Madison"
"ANDREWS,URI","Associate Professor","Mathematics","PHD 2010 Univ of California Berkeley"
"ANDRZEJEWSKI,ANNA","Professor","Art History","PHD 2001 University of Delaware"
"ANE,CECILE","Professor","Botany","PHD 2000 U de Toulouse II (Le Mirail)"
"ANE,JEAN-MICHEL","Professor","Bacteriology","PHD 2002 U de Toulouse II (Le Mirail)"
"ANEX,ROBERT","Professor","Biological Systems Engineering","PHD 1995 Univ of California Davis"
"ANGENENT,SIGURD B.","Professor","Mathematics","PHD 1986 State Univ Of Leiden"
"ANGULO BRACHO,HERNAN LIZARDO","Clinical Instructor","Medical Sciences","DVM 1999 Univ Ncnl Autonoma de Mexico"
"ANGUS,JENNIFER","Professor","School Of Human Ecology","MFA 1991 Sch Of The Art Inst Of Chicago"
"ANIBAS,CALLI","Assoc Research Spec","Agronomy","MS 2020 Univ of Wisconsin-Madison"
"ANIBAS,MELISSA","Clinical Asst Prof","Nursing","MSN 2007 Univ of Wisconsin-Eau Claire"
"ANJUM,UMAR","Research Specialist","Asian Studies","M.PHIL  "
